"bam_file","topmed_nwdid"
"941357.accepted_hits.merged.markeddups.recal.bam","NWD302222"
"941437.accepted_hits.merged.markeddups.recal.bam","NWD543548"
"941448.accepted_hits.merged.markeddups.recal.bam","NWD286543"
"941485.accepted_hits.merged.markeddups.recal.bam","NWD564335"
"941494.accepted_hits.merged.markeddups.recal.bam","NWD453903"
"941520.accepted_hits.merged.markeddups.recal.bam","NWD961152"
"941642.accepted_hits.merged.markeddups.recal.bam","NWD309930"
"941645.accepted_hits.merged.markeddups.recal.bam","NWD695812"
"941660.accepted_hits.merged.markeddups.recal.bam","NWD358278"
"941668.accepted_hits.merged.markeddups.recal.bam","NWD224388"
"941671.accepted_hits.merged.markeddups.recal.bam","NWD292841"
"941714.accepted_hits.merged.markeddups.recal.bam","NWD820402"
"941774.accepted_hits.merged.markeddups.recal.bam","NWD659486"
"941793.accepted_hits.merged.markeddups.recal.bam","NWD277600"
"941875.accepted_hits.merged.markeddups.recal.bam","NWD351123"
"941909.accepted_hits.merged.markeddups.recal.bam","NWD821698"
"941962.accepted_hits.merged.markeddups.recal.bam","NWD173992"
"941965.accepted_hits.merged.markeddups.recal.bam","NWD794833"
"941976.accepted_hits.merged.markeddups.recal.bam","NWD398292"
"942027.accepted_hits.merged.markeddups.recal.bam","NWD897331"
"942105.accepted_hits.merged.markeddups.recal.bam","NWD586325"
